Year,Month,Anomaly,Unc.,Anomaly,Unc.,Anomaly,Unc.,Anomaly,Unc.,Anomaly,Unc.
1853,1,-1.801,2.186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1853,2,-2.334,1.825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1853,3,-2.398,2.308,-1.478,1.155,NaN,NaN,NaN,NaN,NaN,NaN
1853,4,-1.692,1.804,-1.537,1.163,NaN,NaN,NaN,NaN,NaN,NaN
1853,5,-1.157,1.429,-1.598,1.210,NaN,NaN,NaN,NaN,NaN,NaN
1853,6,-1.758,2.296,-1.721,1.261,NaN,NaN,NaN,NaN,NaN,NaN
1853,7,-0.780,1.256,-1.613,1.172,NaN,NaN,NaN,NaN,NaN,NaN
1853,8,-1.096,1.363,-1.474,1.124,NaN,NaN,NaN,NaN,NaN,NaN
1853,9,-2.062,1.664,-1.304,1.027,NaN,NaN,NaN,NaN,NaN,NaN
1853,10,-1.387,1.029,-1.284,1.026,NaN,NaN,NaN,NaN,NaN,NaN
1853,11,-2.395,1.903,-1.243,1.019,NaN,NaN,NaN,NaN,NaN,NaN
1853,12,-1.789,2.693,-1.113,0.844,NaN,NaN,NaN,NaN,NaN,NaN
1854,1,-0.509,2.708,-1.089,0.866,NaN,NaN,NaN,NaN,NaN,NaN
1854,2,-0.664,2.218,-1.069,0.926,NaN,NaN,NaN,NaN,NaN,NaN
1854,3,-0.357,2.113,-1.022,0.855,-1.118,0.898,NaN,NaN,NaN,NaN
1854,4,-1.457,1.919,-1.022,0.978,-1.124,0.908,NaN,NaN,NaN,NaN
1854,5,-0.666,1.273,-0.957,1.088,-1.139,0.938,NaN,NaN,NaN,NaN
1854,6,-0.191,1.653,-0.937,0.986,-1.122,0.922,NaN,NaN,NaN,NaN
1854,7,-0.500,1.844,-0.979,0.932,-1.135,0.923,NaN,NaN,NaN,NaN
1854,8,-0.855,1.479,-1.050,1.047,-1.154,0.958,NaN,NaN,NaN,NaN
1854,9,-1.489,1.240,-1.117,1.067,-1.152,0.978,NaN,NaN,NaN,NaN
1854,10,-1.388,2.559,-1.048,1.101,-1.157,0.991,NaN,NaN,NaN,NaN
1854,11,-1.619,1.328,-1.038,1.103,-1.183,1.011,NaN,NaN,NaN,NaN
1854,12,-1.547,1.683,-1.036,1.188,-1.193,1.019,NaN,NaN,NaN,NaN
1855,1,-1.011,1.390,-1.020,1.096,-1.202,1.007,NaN,NaN,NaN,NaN
1855,2,-1.522,2.553,-1.006,1.061,-1.202,1.009,NaN,NaN,NaN,NaN
1855,3,-1.158,1.098,-1.009,1.135,-1.201,1.010,NaN,NaN,NaN,NaN
1855,4,-0.628,1.855,-0.909,0.941,-1.220,1.020,NaN,NaN,NaN,NaN
1855,5,-0.551,1.425,-0.877,0.915,-1.225,1.055,NaN,NaN,NaN,NaN
1855,6,-0.170,1.097,-0.838,0.941,-1.247,1.085,-1.059,0.821,NaN,NaN
1855,7,-0.302,0.874,-0.946,1.072,-1.262,1.137,-1.064,0.815,NaN,NaN
1855,8,-0.684,1.314,-1.008,1.072,-1.254,1.158,-1.074,0.819,NaN,NaN
1855,9,-1.530,0.998,-1.052,1.093,-1.236,1.170,-1.079,0.818,NaN,NaN
1855,10,-0.183,0.852,-1.060,1.114,-1.248,1.211,-1.075,0.819,NaN,NaN
1855,11,-1.234,1.072,-1.144,1.201,-1.253,1.253,-1.064,0.814,NaN,NaN
1855,12,-1.082,2.215,-1.224,1.203,-1.240,1.234,-1.050,0.788,NaN,NaN
1856,1,-2.312,2.622,-1.299,1.311,-1.247,1.244,-1.059,0.775,NaN,NaN
1856,2,-2.269,2.512,-1.305,1.358,-1.244,1.247,-1.046,0.757,NaN,NaN
1856,3,-1.681,1.898,-1.274,1.391,-1.228,1.252,-1.038,0.752,NaN,NaN
1856,4,-0.722,2.063,-1.340,1.629,-1.229,1.266,-1.026,0.746,NaN,NaN
1856,5,-1.557,2.042,-1.433,1.764,-1.213,1.306,-1.015,0.734,NaN,NaN
1856,6,-1.132,1.786,-1.295,1.785,-1.187,1.264,-1.005,0.727,NaN,NaN
1856,7,-1.209,2.001,-1.189,1.754,-1.189,1.233,-1.004,0.717,NaN,NaN
1856,8,-0.746,2.246,-1.165,1.772,-1.193,1.213,-1.011,0.710,NaN,NaN
1856,9,-1.157,1.471,-1.173,1.788,-1.210,1.215,-1.006,0.704,NaN,NaN
